Game,Month,Avg Players,Gain,% Gain,Peak Players
Counter-Strike: Global Offensive,Aug-20,"639,957.70","14,056.90",2.25%,"925,348"
Counter-Strike: Global Offensive,Jul-20,"625,900.80","-45,746.70",-6.81%,"857,560"
Counter-Strike: Global Offensive,Jun-20,"671,647.50","-97,147.80",-12.64%,"1,009,467"
Counter-Strike: Global Offensive,May-20,"768,795.30","-88,809.00",-10.36%,"1,193,359"
Counter-Strike: Global Offensive,Apr-20,"857,604.20","186,570.90",27.80%,"1,305,714"
Counter-Strike: Global Offensive,Mar-20,"671,033.30","127,054.10",23.36%,"1,145,972"
Counter-Strike: Global Offensive,Feb-20,"543,979.20","42,783.20",8.54%,"916,996"
Counter-Strike: Global Offensive,Jan-20,"501,196.00","44,494.40",9.74%,"817,229"
Counter-Strike: Global Offensive,Dec-19,"456,701.60","30,620.80",7.19%,"767,060"
Counter-Strike: Global Offensive,Nov-19,"426,080.80","17,085.50",4.18%,"758,412"
Counter-Strike: Global Offensive,Oct-19,"408,995.30","-1,930.30",-0.47%,"747,937"
Counter-Strike: Global Offensive,Sep-19,"410,925.60","-4,171.70",-1.00%,"720,052"
Counter-Strike: Global Offensive,Aug-19,"415,097.30","21,314.50",5.41%,"647,461"
Counter-Strike: Global Offensive,Jul-19,"393,782.80","4,406.10",1.13%,"578,933"
Counter-Strike: Global Offensive,Jun-19,"389,376.70","24,959.40",6.85%,"587,724"
Counter-Strike: Global Offensive,May-19,"364,417.30","12,427.40",3.53%,"588,453"
Counter-Strike: Global Offensive,Apr-19,"351,989.90","-38,250.20",-9.80%,"621,614"
Counter-Strike: Global Offensive,Mar-19,"390,240.20","18,881.20",5.08%,"680,071"
Counter-Strike: Global Offensive,Feb-19,"371,359.00","-30,007.90",-7.48%,"654,069"
Counter-Strike: Global Offensive,Jan-19,"401,366.90","5,857.60",1.48%,"684,511"
Counter-Strike: Global Offensive,Dec-18,"395,509.30","85,423.80",27.55%,"746,548"
Counter-Strike: Global Offensive,Nov-18,"310,085.40","-15,822.40",-4.85%,"546,031"
Counter-Strike: Global Offensive,Oct-18,"325,907.80","-7,256.20",-2.18%,"565,968"
Counter-Strike: Global Offensive,Sep-18,"333,164.00","49,632.70",17.51%,"583,029"
Counter-Strike: Global Offensive,Aug-18,"283,531.30","10,224.00",3.74%,"454,370"
Counter-Strike: Global Offensive,Jul-18,"273,307.30","6,445.00",2.42%,"426,008"
Counter-Strike: Global Offensive,Jun-18,"266,862.20","4,691.40",1.79%,"420,261"
Counter-Strike: Global Offensive,May-18,"262,170.90","-26,905.80",-9.31%,"454,481"
Counter-Strike: Global Offensive,Apr-18,"289,076.70","-65,193.60",-18.40%,"523,262"
Counter-Strike: Global Offensive,Mar-18,"354,270.30","-28,186.80",-7.37%,"672,502"
Counter-Strike: Global Offensive,Feb-18,"382,457.10",426.6,0.11%,"686,588"
Counter-Strike: Global Offensive,Jan-18,"382,030.50","41,153.70",12.07%,"715,850"
Counter-Strike: Global Offensive,Dec-17,"340,876.90","19,745.50",6.15%,"598,405"
Counter-Strike: Global Offensive,Nov-17,"321,131.40","-20,729.90",-6.06%,"601,881"
Counter-Strike: Global Offensive,Oct-17,"341,861.30","-12,540.80",-3.54%,"639,968"
Counter-Strike: Global Offensive,Sep-17,"354,402.10","-20,023.60",-5.35%,"665,371"
Counter-Strike: Global Offensive,Aug-17,"374,425.70","-3,163.30",-0.84%,"595,781"
Counter-Strike: Global Offensive,Jul-17,"377,589.00","3,201.00",0.85%,"624,785"
Counter-Strike: Global Offensive,Jun-17,"374,388.00","2,558.70",0.69%,"614,621"
Counter-Strike: Global Offensive,May-17,"371,829.30","-20,369.80",-5.19%,"692,966"
Counter-Strike: Global Offensive,Apr-17,"392,199.20","5,290.50",1.37%,"709,841"
Counter-Strike: Global Offensive,Mar-17,"386,908.70","-15,477.00",-3.85%,"742,356"
Counter-Strike: Global Offensive,Feb-17,"402,385.70","9,276.20",2.36%,"744,468"
Counter-Strike: Global Offensive,Jan-17,"393,109.50","50,913.80",14.88%,"814,616"
Counter-Strike: Global Offensive,Dec-16,"342,195.70","13,150.40",4.00%,"662,460"
Counter-Strike: Global Offensive,Nov-16,"329,045.30","-4,031.20",-1.21%,"627,124"
Counter-Strike: Global Offensive,Oct-16,"333,076.50","10,550.60",3.27%,"661,985"
Counter-Strike: Global Offensive,Sep-16,"322,525.90","-24,703.40",-7.11%,"638,360"
Counter-Strike: Global Offensive,Aug-16,"347,229.30","-6,548.30",-1.85%,"599,095"
Counter-Strike: Global Offensive,Jul-16,"353,777.60","19,466.50",5.82%,"636,056"
Counter-Strike: Global Offensive,Jun-16,"334,311.10","-4,427.30",-1.31%,"579,110"
Counter-Strike: Global Offensive,May-16,"338,738.40","-37,057.50",-9.86%,"668,612"
Counter-Strike: Global Offensive,Apr-16,"375,795.90","-3,631.10",-0.96%,"850,485"
Counter-Strike: Global Offensive,Mar-16,"379,427.00","3,141.90",0.83%,"737,599"
Counter-Strike: Global Offensive,Feb-16,"376,285.00","10,913.90",2.99%,"738,969"
Counter-Strike: Global Offensive,Jan-16,"365,371.10","-12,076.00",-3.20%,"667,432"
Counter-Strike: Global Offensive,Dec-15,"377,447.10","16,521.20",4.58%,"823,694"
Counter-Strike: Global Offensive,Nov-15,"360,925.90","-1,840.20",-0.51%,"786,707"
Counter-Strike: Global Offensive,Oct-15,"362,766.10","6,860.80",1.93%,"732,093"
Counter-Strike: Global Offensive,Sep-15,"355,905.30","-1,629.90",-0.46%,"725,939"
Counter-Strike: Global Offensive,Aug-15,"357,535.20","28,002.90",8.50%,"819,902"
Counter-Strike: Global Offensive,Jul-15,"329,532.40","-14,623.60",-4.25%,"541,181"
Counter-Strike: Global Offensive,Jun-15,"344,156.00","26,869.70",8.47%,"610,401"
Counter-Strike: Global Offensive,May-15,"317,286.30","25,537.50",8.75%,"677,701"
Counter-Strike: Global Offensive,Apr-15,"291,748.70","23,752.40",8.86%,"568,556"
Counter-Strike: Global Offensive,Mar-15,"267,996.30","28,061.70",11.70%,"595,439"
Counter-Strike: Global Offensive,Feb-15,"239,934.60","5,864.00",2.51%,"455,508"
Counter-Strike: Global Offensive,Jan-15,"234,070.70","50,481.20",27.50%,"443,188"
Counter-Strike: Global Offensive,Dec-14,"183,589.50","36,260.40",24.61%,"367,634"
